date,ticker,close,volume,market_event,log_return,next_day_up
2026-02-02,AAPL,199.44,,Fed Emergency Meeting,0.0312,1
2026-02-02,NVDA,1112.80,91000000,Fed Emergency Meeting,0.0415,1
2026-02-02,NVDA,1112.80,91000000,Fed Emergency Meeting,0.0415,1
2026-02-02,NVDA,1112.80,91000000,Fed Emergency Meeting,0.0415,1
2026-02-02,SPY,512.20,188000000,ETF Rebalance,0.0184,1
2026-02-03,AAPL,201.10,74000000,,0.0083,1
2026-02-03,NVDA,1098.60,95000000,Fed Emergency Meeting,-0.0128,1
2026-02-03,SPY,514.77,,ETF Rebalance,0.0050,1
2026-02-03,QQQ,436.18,121000000,Volatility Halt,,1
2026-02-04,AAPL,198.02,70000000,Fed Emergency Meeting,-0.0154,1
2026-02-04,NVDA,1144.33,98000000,Volatility Halt,0.0408,1
2026-02-04,SPY,510.12,182000000,,,1
2026-02-04,QQQ,431.55,119000000,ETF Rebalance,-0.0107,1
2026-02-05,AAPL,204.76,89000000,Unexpected Guidance,0.0335,1
2026-02-05,NVDA,1188.90,,Fed Emergency Meeting,0.0382,1
2026-02-05,SPY,518.44,201000000,ETF Rebalance,0.0162,1
2026-02-05,QQQ,441.22,133000000,,0.0221,1
2026-02-06,AAPL,202.11,81000000,Volatility Halt,-0.0130,1
2026-02-06,NVDA,1221.40,124000000,Fed Emergency Meeting,0.0269,1
2026-02-06,SPY,520.88,,Unexpected Guidance,0.0047,1
2026-02-06,QQQ,445.90,140000000,ETF Rebalance,0.0106,1
2026-02-07,AAPL,207.88,96000000,,0.0282,1
2026-02-07,NVDA,1195.10,117000000,Volatility Halt,-0.0218,1
2026-02-07,SPY,522.71,240000000,Fed Emergency Meeting,0.0035,1
2026-02-07,QQQ,448.84,158000000,Unexpected Guidance,,1
2026-02-08,AAPL,211.43,112000000,ETF Rebalance,0.0169,1
2026-02-08,NVDA,1304.20,460000000,Fed Emergency Meeting,0.0873,1
2026-02-08,SPY,519.02,210000000,Volatility Halt,-0.0071,1
2026-02-08,QQQ,452.12,,,-0.0200,0
2026-02-09,AAPL,209.10,108000000,Unexpected Guidance,-0.0111,1
2026-02-09,NVDA,1288.30,138000000,Fed Emergency Meeting,-0.0123,1
2026-02-09,SPY,525.33,226000000,ETF Rebalance,0.0121,1
2026-02-09,QQQ,455.70,176000000,Volatility Halt,0.0079,1
2026-02-10,AAPL,214.62,,Fed Emergency Meeting,0.0264,1
2026-02-10,NVDA,1402.80,152000000,Unexpected Guidance,0.3500,1
2026-02-10,SPY,527.90,231000000,,0.0049,1
2026-02-10,QQQ,459.11,181000000,ETF Rebalance,,1
