date,ticker,close,volume,market_event,log_return,next_day_up
2026-01-02,AAPL,184.21,52100000,Earnings,0.0041,1
2026-01-02,MSFT,412.55,28600000,Product Launch,0.0032,1
2026-01-02,NVDA,924.10,43300000,Analyst Upgrade,0.0068,1
2026-01-02,TSLA,248.72,78100000,Macro Data,-0.0029,0
2026-01-03,AAPL,185.02,49800000,Earnings,0.0044,1
2026-01-03,MSFT,410.88,30100000,Fed Speech,-0.0041,0
2026-01-03,NVDA,929.85,41700000,Analyst Upgrade,0.0062,1
2026-01-03,TSLA,246.93,80200000,Macro Data,-0.0072,0
2026-01-04,AAPL,183.76,53600000,Product Launch,-0.0068,0
2026-01-04,MSFT,413.21,27900000,Earnings,0.0057,1
2026-01-04,NVDA,927.44,44100000,Fed Speech,-0.0026,0
2026-01-04,TSLA,249.18,76600000,Analyst Upgrade,0.0091,1
2026-01-05,AAPL,186.34,51500000,Analyst Upgrade,0.0140,1
2026-01-05,MSFT,414.02,29400000,Macro Data,0.0020,1
2026-01-05,NVDA,932.77,42900000,Earnings,0.0057,1
2026-01-05,TSLA,247.66,79200000,Fed Speech,-0.0061,0
2026-01-06,AAPL,185.91,50300000,Fed Speech,-0.0023,0
2026-01-06,MSFT,415.40,28800000,Product Launch,0.0033,1
2026-01-06,NVDA,936.18,45200000,Macro Data,0.0037,1
2026-01-06,TSLA,250.12,81100000,Earnings,0.0099,1
2026-01-07,AAPL,187.25,52700000,Earnings,0.0072,1
2026-01-07,MSFT,413.95,30500000,Analyst Upgrade,-0.0035,0
2026-01-07,NVDA,934.26,43800000,Product Launch,-0.0021,0
2026-01-07,TSLA,251.04,78400000,Macro Data,0.0037,1
2026-01-08,AAPL,186.78,50900000,Macro Data,-0.0025,0
2026-01-08,MSFT,416.31,29200000,Earnings,0.0057,1
2026-01-08,NVDA,939.60,44600000,Analyst Upgrade,0.0057,1
2026-01-08,TSLA,249.77,80500000,Product Launch,-0.0051,0
2026-01-09,AAPL,188.03,51800000,Product Launch,0.0067,1
2026-01-09,MSFT,417.02,29700000,Fed Speech,0.0017,1
2026-01-09,NVDA,941.25,45900000,Earnings,0.0018,1
2026-01-09,TSLA,248.91,77600000,Analyst Upgrade,-0.0034,0
